가맹번호,지역,업종,상호,소재지,위도,경도,기준일자
1513,고현동,도소매,액정이랑 폰이랑,경상남도 거제시 고현천로 10(고현동，2층),34.88184762,128.6215655,2021-09-16
1520,아주동,도소매,장승포농협 아주지점,경상남도 거제시 아주로1길 10(아주동),34.86628135,128.6927486,2021-09-16
1522,장평동,숙박업,삼성중공업(주)거제조선소 게스트하우스,경상남도 거제시 장평1로 62-15,34.88184762,128.6215655,2021-09-16
1523,장평동,도소매,대동낚시,경상남도 거제시 장평3로 3길 3,34.88184762,128.6215655,2021-09-16
1525,장평동,일반음식점,고봉김밥인(장평점),경상남도 거제시 장평동 25,34.89188754,128.6149674,2021-09-16
1526,고현동,일반음식점,큰집,경상남도 거제시 계룡로 70 (향군회관 1층),34.87685062,128.6256298,2021-09-16
1527,고현동,일반음식점,거북식품,경상남도 거제시 고현로8길 3-1,34.88631003,128.6232949,2021-09-16
1528,고현동,도소매,애견아트,경상남도 거제시 고현동 83 (고현동),34.88550695,128.6269427,2021-09-16
1530,고현동,도소매,미용재료 남미사,경상남도 거제시 거제중앙로 1886,34.8865666,128.6242376,2021-09-16
1531,고현동 ,서비스,경남거제지역자활센터,경상남도 거제시 서문로 65-1,34.89030663,128.6226906,2021-09-16
1535,고현동,도소매,㈜슈랜드 거제고현점,경상남도 거제시 거제중앙로 1917，1층(고현동),34.88912733,128.6223753,2021-09-16
1536,옥포동,도소매,꿈이있는자리,경상남도 거제시 옥포동 269 한양상가 5-102,34.89507204,128.6931111,2021-09-16
1537,수양동,휴게음식,뚜레주르거제수월점,경상남도 거제시 수양로 451 성진빌딩 1층,34.89231935,128.6412505,2021-09-16
1540,연초면,도소매,CJ 거제유통,경상남도 거제시 연초면 다공2길 61 ,34.92594227,128.6567155,2021-09-16
1541,고현동,일반음식점,피자샵고현점,경상남도 거제시 거제중앙로 1815，1층 (고현동),34.88054,128.6269158,2021-09-16
1549,고현동,휴게음식,하이오커피거제중곡점,경상남도 거제시 중곡로3길 23(고현동),34.89367818,128.627924,2021-09-16
1550,장승포동,일반음식점,장어나라,경상남도 거제시 장승포동 32 (장승포동),34.86674068,128.7327285,2021-09-16
1551,장승포동,도소매,GS25 마전예지점,경상남도 거제시 장승로 82(장승포동),34.86187975,128.7240563,2021-09-16
1557,장평동,일반음식점,죽내음,경상남도 거제시 장평로8길 6,34.89156171,128.6116608,2021-09-16
